address,zip,sqft,baths,beds,lat,long,rent
"707 W Main St, Madison, WI 53715",53715,922.0,1.0,2.0,43.065767,-89.39391,1225.0
"4711 Siggelkow Rd APT 2, Mc Farland, WI 53558",53558,1083.0,1.0,2.0,43.025464,-89.301248,1380.0
"212 N Broom St, Madison, WI 53703",53703,2000.0,2.5,5.0,43.07295,-89.391483,3650.0
"2333 Chalet Gardens Rd #8, Madison, WI 53711",53711,960.0,1.0,2.0,43.026374,-89.461753,985.0
"6713 Century Ave APT A, Middleton, WI 53562",53562,1100.0,1.5,2.0,43.105008,-89.496524,1395.0
"1111 Jenifer St, Madison, WI 53703",53703,1200.0,1.0,3.0,43.081432,-89.364596,2200.0
"2437 Atwood Ave, Madison, WI 53704",53704,380.0,1.0,1.0,43.093665,-89.345696,1050.0
"5 Loomis Cir UNIT 1, Madison, WI 53704",53704,1240.0,1.5,2.0,43.119571,-89.290393,1355.0
"430 W Main St #308, Madison, WI 53703",53703,746.0,1.0,1.0,43.070116,-89.388953,990.0
"121 N Hancock St APT 4, Madison, WI 53703",53703,700.0,1.0,1.0,43.078918,-89.381895,1020.0
"143 S Hancock St APT 1, Madison, WI 53703",53703,900.0,1.0,1.0,43.07566,-89.377642,1080.0
"1010 W Badger Rd, Madison, WI 53713",53713,700.0,1.0,1.0,43.038814,-89.400178,790.0
"501 Alan Dr, Mount Horeb, WI 53572",53572,650.0,1.0,1.0,43.015274,-89.725445,760.0
"4217 Tokay Blvd, Madison, WI 53711",53711,1722.0,2.0,3.0,43.053283,-89.447278,2200.0
"1007-1010 E Washington Ave #1007, Madison, WI 53704",53704,1428.0,2.0,2.0,43.110684,-89.333654,3175.0
"7679 Carrington Dr UNIT 2, Madison, WI 53719",53719,950.0,1.0,2.0,43.058854,-89.513987,1200.0
"310 Samuel Dr, Madison, WI 53717",53717,1200.0,2.0,2.0,43.068419,-89.536253,1355.0
"10-1018 N Mayfair Ave #10, Madison, WI 53714",53714,750.0,1.0,2.0,43.113841,-89.326882,925.0
"1046 Jenifer St, Madison, WI 53703",53703,670.0,1.0,2.0,43.081297,-89.365859,1250.0
"2127 Luann Ln APT 1, Madison, WI 53713",53713,1640.0,1.0,2.0,43.031946,-89.416818,1350.0
"309 W Washington Ave, Madison, WI 53703",53703,1100.0,1.0,1.0,43.07191,-89.387069,1800.0
"312 N Franklin St #312, Madison, WI 53703",53703,725.0,1.0,1.0,43.080274,-89.383267,1375.0
"5407 Tonyawatha Trl, Monona, WI 53716",53716,1896.0,2.0,4.0,43.060975,-89.35058,2460.0
"745 E Gorham St APT C, Madison, WI 53703",53703,960.0,1.0,2.0,43.08341,-89.378926,1260.0
"6715 Park Edge Dr APT D, Madison, WI 53719",53719,884.0,1.0,2.0,43.042584,-89.499717,1600.0
"824 Walnut St, Verona, WI 53593",53593,1650.0,2.0,3.0,43.000257,-89.542153,1875.0
"6916 Old Sauk Rd, Madison, WI 53717",53717,1630.0,2.5,3.0,43.076672,-89.500872,1800.0
"302 Nautilus Dr #203, Madison, WI 53705",53705,830.0,1.0,1.0,43.062612,-89.489766,1277.0
"718 Bartels St, Monona, WI 53716",53716,1000.0,1.5,2.0,43.04855,-89.335263,2195.0
"3010 Todd Dr, Madison, WI 53713",53713,1332.0,2.0,2.0,43.031033,-89.424371,1495.0
"10-245 S Bird St #10, Sun Prairie, WI 53590",53590,865.0,1.0,2.0,43.179497,-89.226676,950.0
"425 Mineau Pkwy, Madison, WI 53711",53711,1086.0,1.0,3.0,43.059778,-89.459729,1800.0
"5833 Balsam Rd #2, Madison, WI 53711",53711,1100.0,1.0,3.0,43.030083,-89.481771,1199.0
"3056 Shaw Ct, Madison, WI 53711",53711,3444.0,3.0,4.0,43.012189,-89.334276,5500.0
"7409 Timber Lake Trl APT 302, Madison, WI 53719",53719,900.0,1.0,2.0,43.051895,-89.511532,1200.0
"2913 Monroe St APT 2, Madison, WI 53711",53711,1100.0,1.0,2.0,43.055598,-89.430763,1350.0
"1401 W Skyline Dr, Madison, WI 53705",53705,1800.0,2.0,3.0,43.082982,-89.490871,2200.0
"204 Saint Teresa Ter #51041, Madison, WI 53716",53716,915.0,1.0,2.0,43.064208,-89.327841,1035.0
"641 Bear Claw Way, Middleton, WI 53562",53562,2629.0,3.5,4.0,43.073764,-89.548355,2600.0
"416 Hilton Dr, Madison, WI 53711",53711,2200.0,2.0,4.0,43.060096,-89.463301,2400.0
"430 W Wilson St APT 2, Madison, WI 53703",53703,1571.0,2.0,4.0,43.06875,-89.387245,2400.0
