contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,2.0,1.0,1056.0,0.0,64900,"N550 Gannon Road #H13, Lodi, WI",53555,https://www.homesnap.com/WI/Lodi/N550-Gannon-Road/property/18117455,100647021,43.294975,-89.633128,2007.0,N550 Gannon Road #H13,"Lodi, WI",2021-02-05,64900,8,64
No,,,0.0,,0.0,131250,"35 AC Maass Road, Lewiston, WI",53901,https://www.homesnap.com/WI/Lewiston/35-AC-Maass-Road,100603795,43.562075,-89.573753,,35 AC Maass Road,"Lewiston, WI",2021-02-05,131250,8,32
Yes,,4.0,2.5,3200.0,0.0,425000,"W8003 Whitetail Drive, Pardeeville, WI",53954,https://www.homesnap.com/WI/Pardeeville/W8003-Whitetail-Drive,100574827,43.517758,-89.399402,1980.0,W8003 Whitetail Drive,"Pardeeville, WI",2021-02-04,425000,1,1
Yes,,4.0,2.0,2008.0,0.0,319900,"381 School Street, Merrimac, WI",53561,https://www.homesnap.com/WI/Merrimac/381-School-Street,100531378,43.377554,-89.623374,2007.0,381 School Street,"Merrimac, WI",2021-02-03,319900,1,1
Yes,,3.0,1.0,1634.0,0.0,197000,"631 Fountain Street, Columbus, WI",53925,https://www.homesnap.com/WI/Columbus/631-Fountain-Street,100530495,43.338181,-89.025278,1904.0,631 Fountain Street,"Columbus, WI",2021-02-03,197000,1,1
No,,,0.0,,0.0,374900,".71 Ac N Dickason Boulevard, Columbus, WI",53925,https://www.homesnap.com/WI/Columbus/71-Ac-N-Dickason-Boulevard,100495022,43.340981,-89.013297,,.71 Ac N Dickason Boulevard,"Columbus, WI",2021-02-02,374900,8,32
Yes,,5.0,3.0,3226.0,0.0,469000,"1106 20th Street, Prairie Du Sac, WI",53578,https://www.homesnap.com/WI/Prairie-Du-Sac/1106-20th-Street,100490566,43.301106,-89.744419,2017.0,1106 20th Street,"Prairie Du Sac, WI",2021-02-01,469000,1,1
No,2.0,,0.0,3100.0,0.0,525000,"333 W Wisconsin Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/333-W-Wisconsin-Street,100447542,43.539962,-89.462197,1986.0,333 W Wisconsin Street,"Portage, WI",2021-02-01,525000,8,128
No,1.0,,0.0,,0.0,549000,"402 W Oneida Street, Portage, WI",53901,https://www.homesnap.com/WI/Portage/402-W-Oneida-Street,100452976,43.546439,-89.469897,1900.0,402 W Oneida Street,"Portage, WI",2021-02-01,549000,8,128
Yes,,4.0,2.5,3199.0,0.0,525000,"W11447 McDonald Road, Merrimac, WI",53561,https://www.homesnap.com/WI/Merrimac/W11447-McDonald-Road,100451139,43.444121,-89.569567,1980.0,W11447 McDonald Road,"Merrimac, WI",2021-01-31,525000,1,1
Yes,,3.0,3.0,2130.0,0.0,245000,"125 Jennifer Lane, Fall River, WI",53932,https://www.homesnap.com/WI/Fall-River/125-Jennifer-Lane,100388081,43.382199,-89.037501,2007.0,125 Jennifer Lane,"Fall River, WI",2021-01-30,245000,8,8
No,2.0,3.0,2.5,1625.0,750.0,207900,"706 Mound Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/706-Mound-Street,100428534,43.467765,-89.732326,1920.0,706 Mound Street,"Baraboo, WI",2021-01-30,214900,1,16
