contingent,units,beds,baths,sqft,rent,list_price,address,zip,urls,listings,lats,longs,year_built,street_address,city_state,list_date,original_price,propertyType,propertyType2
No,,,0.0,,0.0,22500,"Lot 4 Bobolink Court, La Valle, WI",53941,https://www.homesnap.com/WI/La-Valle/Lot-4-Bobolink-Court,100265105,43.61356,-90.080671,,Lot 4 Bobolink Court,"La Valle, WI",2021-01-27,22500,8,32
No,,4.0,3.5,3380.0,0.0,495000,"S3470 Poplar Road, Delton, WI",53913,https://www.homesnap.com/WI/Delton/S3470-Poplar-Road,100351257,43.519768,-89.759416,2021.0,S3470 Poplar Road,"Delton, WI",2021-01-27,495000,1,1
Yes,,4.0,2.5,2450.0,0.0,229900,"1032 Race Street, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1032-Race-Street,100346172,43.631098,-89.762962,,1032 Race Street,"Wisconsin Dells, WI",2021-01-26,229900,1,1
No,3.0,,0.0,2400.0,0.0,229900,"138 3rd Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/138-3rd-Street,100032193,43.469613,-89.741236,1900.0,138 3rd Street,"Baraboo, WI",2021-01-26,229900,8,128
No,,2.0,2.0,1280.0,0.0,184000,"1093 Canyon Road #108, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1093-Canyon-Road/property/6591944,99850825,43.598442,-89.773104,1990.0,1093 Canyon Road #108,"Wisconsin Dells, WI",2021-01-25,189000,4,4
No,10.0,,0.0,5760.0,0.0,469900,"717 South Boulevard, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/717-South-Boulevard,100343624,43.459707,-89.7546,1970.0,717 South Boulevard,"Baraboo, WI",2021-01-25,469900,8,128
Yes,,3.0,2.0,1340.0,0.0,209900,"309 10th Street, Baraboo, WI",53913,https://www.homesnap.com/WI/Baraboo/309-10th-Street,100041717,43.476875,-89.738413,1921.0,309 10th Street,"Baraboo, WI",2021-01-24,209900,1,1
Yes,,3.0,1.5,1448.0,0.0,144900,"548 Laurel Street, Reedsburg, WI",53959,https://www.homesnap.com/WI/Reedsburg/548-Laurel-Street,99829867,43.537831,-90.000696,1890.0,548 Laurel Street,"Reedsburg, WI",2021-01-24,144900,1,1
Yes,,2.0,2.0,1248.0,0.0,225000,"103 Bowman Road #736, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/103-Bowman-Road/property/600032491875,99855426,43.614589,-89.77186,2004.0,103 Bowman Road #736,"Wisconsin Dells, WI",2021-01-23,225000,4,4
No,2.0,4.0,2.0,2200.0,900.0,279000,"1184 Canyon Road, Wisconsin Dells, WI",53965,https://www.homesnap.com/WI/Wisconsin-Dells/1184-Canyon-Road,99864698,43.598411,-89.770774,1996.0,1184 Canyon Road,"Wisconsin Dells, WI",2021-01-23,279000,1,16
