address,zip,units,list_price,rent,rent_estimate_beds,rent_estimate_sqft,beds,sqft,year_built,baths,mortgage,dp+close,1yr CF,1yr growth,3yr growth,5yr growth,unemploy %,family %,college %,poverty %,vacancy,med_age,price_to_rent,price_to_rent_est_sqft,price_to_rent_est_beds
"3400 John Muir Drive, Middleton, WI",53562,1,539900,NA,2828.666667,4306.660781,4,2700,2002,3.5,33562,22896,-48320,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,10.4469957,15.90560924
"3103 Baskerville Avenue, Middleton, WI",53562,1,289000,NA,2700.555556,2254.660697,4,1696,1965,2,17965,14115,-26701,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,10.68157766,8.917918124
"910 River Birch Road, Middleton, WI",53562,1,1295000,NA,3249.888889,8154.073523,4,6363,2011,5.5,80502,49325,-113382,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,13.23469385,33.20626346
"3010 Sunrise Court, Middleton, WI",53562,1,400000,NA,2025.416667,3935.021028,3,2960,1974,2.5,24866,18000,-36266,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,8.470941602,16.45751903
"4692 Signature Drive, Middleton, WI",53562,1,1199000,NA,3841.666667,10080.3246,5,7155,2003,5,74535,45965,-105111,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,9.912048534,26.00867679
"4810 Westman Court, Middleton, WI",53562,1,569900,NA,3270.333333,4825.993646,4,3671,1981,3.5,35427,23947,-50905,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,9.840805883,14.52196514
"9940 White Fox Lane, Middleton, WI",53562,1,475000,NA,2544.083333,2373.271155,3,1813,2019,2,29528,20625,-42728,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,16.67880775,15.55897671
"2564 Branch Street #10, Middleton, WI",53562,1,110000,NA,1300.5,1247.876608,2,895,1981,1,6838,7850,-11278,-1.9,-2.7,-1.1,8.4,73.7,10,15.2,1.5,35.3,inf,7.345811766,7.048571062
"9421 Cobalt Street, Middleton, WI",53562,1,512000,NA,3392.111111,3856.401998,4,2946,2016,3,31828,21920,-45916,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,11.06385348,12.57820433
"9423 Eagle Nest Lane, Middleton, WI",53562,1,449900,NA,3392.111111,3941.488939,4,3011,2005,3,27968,19746,-40566,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,9.5120568,11.05260572
"7000 Companion Lane, Middleton, WI",53562,1,409900,NA,2828.666667,4226.907804,4,2650,1987,2.5,25481,18346,-37119,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,8.081163564,12.07577186
"3205 Highland Court, Middleton, WI",53562,1,250000,NA,1350.277778,1581.984805,2,1190,1980,1.5,15541,12750,-23341,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,13.16911089,15.42892409
"8773 Airport Road, Middleton, WI",53562,1,575000,NA,3362.666667,3218.092981,4,2563,1978,2.5,35744,24125,-51344,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,14.88977073,14.24960349
"7555 Riles Road, Middleton, WI",53562,1,450000,NA,3150.333333,3797.513362,4,2730,1977,2.5,27974,19750,-40574,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,9.874882962,11.90350227
"1306 Stratford Court, Middleton, WI",53562,1,299900,NA,2157.625,3766.030707,3,2922,1990,3,18643,14497,-27641,-6.2,0,-0.1,3.3,80.1,5,8.2,1.4,44.7,inf,6.63607618,11.58295193
"6251 Middleton Springs Drive, Middleton, WI",53562,1,200000,NA,2025.416667,1768.100665,3,1330,1994,2,12433,11000,-19033,-1.9,-2.7,-1.1,8.4,73.7,10,15.2,1.5,35.3,inf,9.426310955,8.228759515
"6920 Ramsey Road, Middleton, WI",53562,1,724950,NA,3535.833333,6235.087775,5,3909,2003,3.5,45066,29373,-64265,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,9.689117808,17.08578836
"6309 Stonefield Road, Middleton, WI",53562,1,675000,NA,2630.166667,6158.274605,4,4713,1984,2.5,41961,27625,-59961,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,9.134051924,21.38647741
"631 Big Stone Trail, Middleton, WI",53562,1,505000,NA,3392.111111,3061.820866,4,2339,2016,2.5,31393,21675,-45313,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,13.74454456,12.40623669
"4594 Ellington Way, Middleton, WI",53562,1,550000,NA,3808.75,4699.775409,5,3700,2004,4,34190,23250,-49190,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,9.752239063,12.03369434
"5197 Brabender Road, Middleton, WI",53562,1,398500,NA,2003.25,3430.009983,3,2500,1970,3,24772,17948,-36136,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,9.681701657,16.57722867
"2805 Century Harbor Road #2, Middleton, WI",53562,1,185000,NA,2025.416667,1661.748745,3,1250,1972,1.5,11500,10475,-17740,-1.9,-2.7,-1.1,8.4,73.7,10,15.2,1.5,35.3,inf,9.277375242,7.611602551
"541 Burnt Sienna Drive, Madison, WI",53562,1,594999,NA,3392.111111,4165.333047,4,3182,2019,3.5,36987,24825,-53067,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,11.90379003,14.61722461
"413 Burnt Sienna Drive, Middleton, WI",53562,1,509900,NA,3392.111111,4205.912973,4,3213,2017,3,31697,21846,-45735,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,10.1028402,12.52661404
"1703 N High Point Road, Middleton, WI",53562,1,299900,NA,1948.25,1620.669835,3,1214,1954,1.5,18643,14497,-27641,-6.2,0,-0.1,3.3,80.1,5,8.2,1.4,44.7,inf,15.42057865,12.8277514
"8691 Plainfield Road, Middleton, WI",53562,1,407500,NA,3270.333333,3746.685342,4,2850,1984,2.5,25332,18262,-36912,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,9.063566921,10.38375293
"8786 White Coral Way, Middleton, WI",53562,1,485000,NA,3047,3846.194578,4,3028,2008,3.5,30150,20975,-43590,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,10.50822205,13.26441308
"1016 Rooster Run, Middleton, WI",53562,1,499500,NA,2730.166667,4204.508922,4,3212,2001,3.5,31051,21482,-44839,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,9.90008602,15.24632196
"7307 Donna Drive, Middleton, WI",53562,1,269900,NA,2000.25,2150.688151,3,1532,1975,1.5,16778,13446,-25056,-1.9,-2.7,-1.1,8.4,73.7,10,15.2,1.5,35.3,inf,10.45789305,11.24442778
"9924 White Fox Lane, Middleton, WI",53562,1,524900,NA,3392.111111,3263.411466,4,2493,2019,2.5,32630,22372,-47028,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,13.40366274,12.89511612
"9923 White Fox Lane, Middleton, WI",53562,1,449900,NA,2544.083333,2530.354739,3,1933,2019,3,27968,19746,-40566,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,14.81676308,14.73680763
"6341 Briarcliff Lane, Middleton, WI",53562,1,825000,NA,1972.625,5421.320037,3,4149,1982,2.5,51285,32875,-72885,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,12.6814133,34.85203726
"10334 White Fox Lane, Middleton, WI",53562,1,499900,NA,3392.111111,3201.887063,4,2446,2019,2.5,31076,21496,-44874,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,13.01055675,12.28094599
"7409 Friendship Lane, Middleton, WI",53562,1,259900,NA,2121.5,2194.801939,3,1376,1982,1.5,16156,13096,-24194,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,9.868012667,10.20897164
"9282 Gorst Road, Mazomanie, WI",53560,1,425000,NA,2866,3554.712799,4,3028,1998,3,26420,18875,-38420,2.9,8.2,11.8,2.4,88.3,4.5,3.2,7,47.7,inf,9.963299055,12.35752501
"403 University Lane, Mazomanie, WI",53560,1,224900,NA,1828.25,1586.917499,3,1536,2008,2.5,13981,11872,-21179,,,,3.7,81.6,4.9,8.7,6.2,42.3,inf,11.81010776,10.25115092
"716 Reeve Road, Mazomanie, WI",53560,1,324900,NA,2437.666667,2732.680199,4,2645,2006,3,20197,15372,-29795,,,,3.7,81.6,4.9,8.7,6.2,42.3,inf,9.907855302,11.10693286
"110 Haskall Court, Mazomanie, WI",53560,1,319900,NA,1218.833333,1666.470004,2,1613,2019,2,19886,15197,-29364,,,,3.7,81.6,4.9,8.7,6.2,42.3,inf,15.99688759,21.87200875
"212 Anne Street, Mazomanie, WI",53560,1,398000,NA,2437.666667,3719.337889,4,3600,,2.5,24741,17930,-36093,,,,3.7,81.6,4.9,8.7,6.2,42.3,inf,8.917357781,13.60590729
"413 University Lane, Mazomanie, WI",53560,1,305000,NA,2437.666667,2327.685629,4,2253,2018,2,18960,14675,-28080,,,,3.7,81.6,4.9,8.7,6.2,42.3,inf,10.91928667,10.42663749
"8778 Breezeway Drive, Mazomanie, WI",53560,1,449900,NA,2915.333333,3009.674284,4,2400,1979,2.5,27968,19746,-40566,2.9,8.2,11.8,2.4,88.3,4.5,3.2,7,47.7,inf,12.4570512,12.86016465
"716 Forest Edge Drive, Mazomanie, WI",53560,1,225000,NA,1828.25,1553.856718,3,1504,2006,2,13987,11875,-21187,,,,3.7,81.6,4.9,8.7,6.2,42.3,inf,12.06674964,10.25570901
"5701 Cedar Ridge Road, Middleton, WI",53562,1,289900,NA,2025.416667,1935.604938,3,1456,1986,1.5,18021,14147,-26779,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,12.48102485,11.92758692
"801 Blue Aster Trail, Middleton, WI",53562,1,1199000,NA,4240.138889,6194.329346,5,4732,2018,4.5,74535,45965,-105111,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,16.13034456,23.56447968
"3102 Elm Lane, Middleton, WI",53562,1,309900,NA,2025.416667,2688.04477,3,2022,1970,2.5,19265,14847,-28503,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,9.607354865,12.75046287
"9323 Elderberry Road, Middleton, WI",53562,1,489000,NA,2544.083333,3148.216838,3,2405,2014,3.5,30398,21115,-43934,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,12.94383522,16.01755708
"507 Fargo Trail, Middleton, WI",53562,1,419000,NA,2522.416667,2731.758265,3,1975,2006,2,26047,18665,-37903,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,12.78175566,13.84254518
"9907 Bronze Leaf Lane, Madison, WI",53562,1,479900,NA,3392.111111,3056.584747,4,2335,2017,3.5,29832,20796,-43150,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,13.08377486,11.78960988
"4206 County Road M, Middleton, WI",53562,1,599000,NA,2305,2596.511284,3,1843,1948,2.5,37236,24965,-53412,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,19.22451367,21.65582068
"3538 John Muir Drive, Middleton, WI",53562,1,535000,NA,2928.222222,4070.286794,4,2660,2005,3.5,33258,22725,-47898,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,10.95336412,15.22539273
"6509 Whittlesey Road, Middleton, WI",53562,1,395000,NA,2928.222222,2772.691606,4,1812,2000,2,24555,17825,-35835,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,11.87173741,11.24117781
"6420 Clovernook Road, Middleton, WI",53562,1,424000,NA,2047.625,3046.043668,3,2327,1980,2.5,26358,18840,-38334,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,11.59974616,17.25576379
"3002 Park Street, Middleton, WI",53562,1,309900,NA,2667,2964.917346,4,2112,1966,2,19265,14847,-28503,-1.9,-2.7,-1.1,8.4,73.7,10,15.2,1.5,35.3,inf,8.710192219,9.683164604
"7705 Westchester Drive, Middleton, WI",53562,1,539900,NA,3596.041667,4315.082412,5,3348,1987,3.5,33562,22896,-48320,-6.2,0,-0.1,3.3,80.1,5,8.2,1.4,44.7,inf,10.42660658,12.51144198
"7174 Belle Fontaine Boulevard, Middleton, WI",53562,1,549900,NA,2828.666667,4947.87472,4,3102,2018,3.5,34184,23247,-49182,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,9.261552201,16.20021211
"6715 S Chickahauk Trail, Middleton, WI",53562,1,745000,NA,3660.277778,6518.579603,5,4260,2017,4.5,46312,30075,-65992,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,9.524058478,16.96137209
"2919 Waconia Lane, Middleton, WI",53562,1,449500,NA,2025.416667,2330.43644,3,1753,1955,1.5,27943,19732,-40531,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,16.07352713,18.49413701
"7410 Century Place, Middleton, WI",53562,1,299000,NA,2121.5,2788.164091,3,1748,1979,2.5,18587,14465,-27563,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,8.936585457,11.74483463
"9609 Shadow Ridge Trail, Middleton, WI",53562,1,519900,NA,3363.222222,3486.968398,4,2521,2004,3,32319,22196,-46597,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,12.42483299,12.88199148
"4740 Sunset Ridge Drive, Middleton, WI",53562,1,654900,NA,3047,4445.733495,4,3500,2019,3.5,40711,26922,-58229,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,12.27581457,17.91106006
"6720 Clovernook Road, Middleton, WI",53562,1,729900,NA,2680.833333,4816.013992,4,4217,1995,4.5,45373,29547,-64691,2.4,0.2,-3.8,1.6,81.4,5.5,4.6,2.9,50.6,inf,12.62973905,22.68884053
"4217 Savannah Court, Middleton, WI",53562,1,519900,NA,3660.277778,4951.672205,5,3236,1999,3.5,32319,22196,-46597,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,8.749569479,11.83653335
"3716 Deer Path Road, Middleton, WI",53562,1,1200000,NA,3841.666667,6917.455455,5,4910,2015,4.5,74597,46000,-105197,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,14.45618272,26.03036876
"7664 Payvery Trail, Middleton, WI",53562,1,799000,NA,3047,4580.37571,4,3606,2015,3.5,49669,31965,-70645,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,14.53665322,21.85209496
"6914 South Avenue, Middleton, WI",53562,1,399900,NA,1888.25,2407.287976,3,1842,1953,2.5,24859,17996,-36257,-6.2,0,-0.1,3.3,80.1,5,8.2,1.4,44.7,inf,13.84337908,17.64861644
"5040 Spring Blossom Court, Middleton, WI",53562,1,1300000,NA,4087.916667,6730.887352,5,5120,2016,5.5,80813,49500,-113813,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,16.09495564,26.50086637
"105 E Hudson Street, Mazomanie, WI",53560,1,250000,NA,,4855.802244,,4700,1873,0,15541,12750,-23341,,,,3.7,81.6,4.9,8.7,6.2,42.3,inf,4.290399873,
"7546 Summit Ridge Road, Middleton, WI",53562,1,1095000,NA,3808.75,7207.169101,5,5674,2006,4.5,68070,42325,-96150,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,12.66100444,23.95799147
"814 Blue Aster Trail, Middleton, WI",53562,1,669900,NA,4062.361111,5138.745062,5,4010,2008,4.5,41644,27447,-59522,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,10.86354729,13.74200827
"2749 Town Hall Road, Mount Horeb, WI",53572,1,2200000,NA,3008.680556,3190.046344,5,2976,,2,136761,81000,-191361,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,57.47042945,60.93479515
"2993 County Road P, Mount Horeb, WI",53572,1,995000,NA,2406.944444,3001.387689,4,2800,2009,3,61853,38825,-87533,1.9,4.2,11.6,3.2,87.9,4,5.6,3.9,45.6,inf,27.62611007,34.44893249
"1920 Eastwood Way, Mount Horeb, WI",53572,1,181900,NA,1951.875,1628.576893,3,1440,1980,1,11308,10366,-17474,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,9.307717305,7.76603693
"624 S 1st Street, Mount Horeb, WI",53572,1,330000,NA,2955.208333,2596.869535,5,2400,1996,2,20514,15550,-30234,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,10.58967331,9.305604512
"716 S 2nd Street, Mount Horeb, WI",53572,1,335000,NA,2364.166667,2343.674755,4,2166,1996,2.5,20825,15725,-30665,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,11.91149352,11.80824815
"816 Violet Lane, Oregon, WI",53575,1,299900,NA,1856.958333,2579.332311,3,2228,2008,3,18643,14497,-27641,-3.7,2.7,7.6,3.4,85,5,5.4,2.5,39.6,inf,9.689200014,13.45838849
"393 Riviera Street, Oregon, WI",53575,1,515000,NA,2297.944444,3360.108099,4,3019,2004,3,32014,22025,-46174,0.4,4.1,3.1,3.4,89.2,4.5,2.4,8.9,36.5,inf,12.77240654,18.6761115
"357 Alpine Meadow Circle, Oregon, WI",53575,1,199500,NA,1815.125,1706.234707,3,1464,2004,2.5,12402,10982,-18990,0.4,4.1,3.1,3.4,89.2,4.5,2.4,8.9,36.5,inf,9.743677078,9.159148819
"277 Stoddard Drive, Oregon, WI",53575,1,429900,NA,2475.944444,2818.974048,4,2435,2019,3,26724,19046,-38842,-3.7,2.7,7.6,3.4,85,5,5.4,2.5,39.6,inf,12.70852423,14.46922611
"652 N Perry Parkway, Oregon, WI",53575,1,325000,NA,2475.944444,2785.401051,4,2406,1972,1.5,20203,15375,-29803,-3.7,2.7,7.6,3.4,85,5,5.4,2.5,39.6,inf,9.723315544,10.93858685
"208 Alpine Meadow Circle, Oregon, WI",53575,1,225000,NA,1815.125,2386.863852,3,2048,2006,3,13987,11875,-21187,0.4,4.1,3.1,3.4,89.2,4.5,2.4,8.9,36.5,inf,7.855496234,10.32986709
"554 Soden Drive, Oregon, WI",53575,1,229900,NA,1237.972222,1403.119731,2,1212,1950,1,14291,12046,-21609,-3.7,2.7,7.6,3.4,85,5,5.4,2.5,39.6,inf,13.6540973,15.4755761
"380 Oakmont Street, Oregon, WI",53575,1,475000,NA,2297.944444,3087.426256,4,2774,2004,3,29528,20625,-42728,0.4,4.1,3.1,3.4,89.2,4.5,2.4,8.9,36.5,inf,12.82081904,17.22553973
"264 Eagle Drive, Oregon, WI",53575,1,349900,NA,1723.458333,3098.556127,3,2784,2019,3.5,21751,16247,-31949,0.4,4.1,3.1,3.4,89.2,4.5,2.4,8.9,36.5,inf,9.41029697,16.91850204
"826 Ashworth Drive, Oregon, WI",53575,1,349900,NA,1815.125,2274.979609,3,1952,2007,3,21751,16247,-31949,0.4,4.1,3.1,3.4,89.2,4.5,2.4,8.9,36.5,inf,12.8169647,16.06409109
"360 Veldor Street, Oregon, WI",53575,1,255900,NA,1856.958333,2292.225304,3,1980,1970,3.5,15908,12956,-23850,-3.7,2.7,7.6,3.4,85,5,5.4,2.5,39.6,inf,9.303186718,11.48383333
"6276 Ahwahnee Court, Oregon, WI",53575,1,439900,NA,1680.541667,3761.033079,3,3768,1978,3.5,27346,19396,-39704,2.2,2.7,6.2,5,91.9,6.4,3,3.2,44.9,inf,9.746878734,21.81340342
"3061 Shore View Drive, Stoughton, WI",53589,1,614900,NA,2725,4639.562889,5,4648,2007,5.5,38225,25522,-54783,2.2,5.4,6.5,4.7,90.2,3.9,3.9,6.9,48.4,inf,11.04450309,18.80428135
"2000 N Van Buren Street, Stoughton, WI",53589,1,279900,NA,1635,1463.338897,3,1466,1997,2.5,17400,13797,-25918,-0.9,0.7,-0.2,2.4,82.7,4.9,7.8,0,41,inf,15.93957493,14.26605505
"2809 Spring Hill Drive, Stoughton, WI",53589,1,315000,NA,2660.416667,1759.260974,5,1802,1970,2,19582,15025,-28942,2.2,5.4,6.5,4.7,90.2,3.9,3.9,6.9,48.4,inf,14.92103809,9.866875489
"908 Devonshire Court, Stoughton, WI",53589,1,315000,NA,2180,2481.48738,4,2486,1992,3.5,19582,15025,-28942,-0.9,0.7,-0.2,2.4,82.7,4.9,7.8,0,41,inf,10.57833306,12.0412844
"191.46 AC Adams Road, Fitchburg, WI",53575,1,2100000,NA,1680.541667,1082.993867,3,1085,,1,130544,77500,-182744,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,161.5890961,104.133092
"418 Medinah Street, Oregon, WI",53575,1,469900,NA,1723.458333,2183.680719,3,1962,2019,2,29211,20446,-42289,0.4,4.1,3.1,3.4,89.2,4.5,2.4,8.9,36.5,inf,17.93226134,22.72078911
"3221 County Road P, Mount Horeb, WI",53572,1,459900,NA,2010.833333,3096.056615,3,2775,1989,2,28589,20096,-41427,1.9,4.2,11.6,3.2,87.9,4,5.6,3.9,45.6,inf,12.37864961,19.05926233
"364 Alpine Meadow Circle, Oregon, WI",53575,1,175000,NA,1815.125,2089.671331,3,1793,2004,3.5,10879,10125,-16879,0.4,4.1,3.1,3.4,89.2,4.5,2.4,8.9,36.5,inf,6.978768917,8.034341069
"454-464 Ithaca Court, Oregon, WI",53575,2,579900,NA,3630.25,4568.606591,6,3920,2019,6,36049,24297,-51767,0.4,4.1,3.1,3.4,89.2,4.5,2.4,8.9,36.5,inf,10.5776234,13.31175539
"369 Oakmont Street, Oregon, WI",53575,1,535999,NA,2297.944444,3082.974308,4,2770,2018,3.5,33320,22760,-47984,0.4,4.1,3.1,3.4,89.2,4.5,2.4,8.9,36.5,inf,14.48814647,19.43762541
"2184 Fitchburg Road, Fitchburg, WI",53575,1,385000,NA,2204.291667,3132.722076,3,3211,1968,2.5,23933,17475,-34973,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,10.24135961,14.55494017
"6225 Stony Hill Drive, Oregon, WI",53575,1,539900,NA,2240.722222,4549.572392,4,4558,2002,3.5,33562,22896,-48320,2.2,2.7,6.2,5,91.9,6.4,3,3.2,44.9,inf,9.889207774,20.07909156
"6174 Adams Road, Fitchburg, WI",53575,1,1300000,NA,1680.541667,1082.993867,3,1085,,1,80813,49500,-113813,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,100.0313452,64.46334267
"46.48 Ac Adams Road, Oregon, WI",53575,1,600000,NA,1680.541667,1082.993867,3,1085,,1,37298,25000,-53498,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,46.16831316,29.752312
"2159 Vintage Drive, Fitchburg, WI",53575,1,625000,NA,2057.625,3584.893782,3,3082,1973,3.5,38852,25875,-55652,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,14.52855691,25.31235445
"705 Cricket Lane #4, Middleton, WI",53562,1,244900,NA,2522.416667,2522.899785,3,1824,2004,3.5,15224,12572,-22902,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,8.089236622,8.090785953
"1401 E Garfield Street, Mount Horeb, WI",53572,1,399900,NA,1951.875,3161.022512,3,2795,1980,2.5,24859,17996,-36257,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,10.54247475,17.07332693
"700 Stonefield Way, Mount Horeb, WI",53572,1,359900,NA,2646.944444,2875.624008,4,2588,2007,3,22373,16596,-32811,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,10.42962035,11.33067478
"L20 Mound Drive, Middleton, WI",53562,1,560000,NA,1913.25,2969.352028,3,2196,2019,2.5,34812,23600,-50052,-1.9,-2.7,-1.1,8.4,73.7,10,15.2,1.5,35.3,inf,15.7161112,24.39130624
"5287 Scenic Ridge Tr, Springfield, WI",53562,1,450000,NA,3554.583333,3905.411078,5,2912,1976,4,27974,19750,-40574,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,9.602062177,10.5497597
"7140 Calla Pass, Middleton, WI",53562,1,384900,NA,2121.5,2973.190999,3,1864,2014,2.5,23927,17472,-34965,1.7,7,9.8,4.7,81.3,6.4,4.5,4.2,40.3,inf,10.78807248,15.11901956
"7902 Autumn Pond Tr, Springfield, WI",53562,1,895000,NA,4087.916667,6007.842812,5,4570,2016,4.5,55637,35325,-78917,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,12.41432835,18.24482723
"9916 White Fox Lane, Middleton, WI",53562,1,499900,NA,3392.111111,3230.68572,4,2468,2019,3,31076,21496,-44874,2.2,3.8,14.1,3.5,69.8,7.8,3.6,5.3,38.3,inf,12.89457934,12.28094599
"2105 Gateway Street N, Middleton, WI",53562,1,499900,NA,1913.25,3122.146554,3,2309,,2.5,31076,21496,-44874,-1.9,-2.7,-1.1,8.4,73.7,10,15.2,1.5,35.3,inf,13.34285006,21.77359641
"4858 Champions Run, Middleton, WI",53562,1,945000,NA,4087.916667,8742.265799,5,6650,2005,4.5,58745,37075,-83225,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,9.007962216,19.26409133
"7615 Koch Road, Middleton, WI",53562,1,654900,NA,3027,4116.362514,4,3019,2019,3.5,40711,26922,-58229,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,13.25806457,18.02940205
"7734 Us Highway 14, Middleton, WI",53562,1,399900,NA,2375.333333,2270.496144,3,1812,1965,2,24859,17996,-36257,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,14.67740876,14.02960988
"4745 Daybreak Court, Middleton, WI",53562,1,589900,NA,2770.333333,4281.237271,4,2755,2018,2.5,36671,24647,-52629,6.2,7.2,14.3,3,93,4.9,1.3,1.3,42,inf,11.48227258,17.74455541
"1649 S Sharpes Corner Road, Mount Horeb, WI",53572,1,1950000,NA,1466.875,3195.691447,3,3424,1990,3,121220,72250,-169820,1.9,4.2,11.6,3.2,87.9,4,5.6,3.9,45.6,inf,50.84971521,110.7797188
"101 Valley View Road, Mount Horeb, WI",53572,1,699000,NA,1773.125,5326.828634,3,4923,1999,4,43453,28465,-62029,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,10.93521193,32.85160381
"8584 Klevenville-Riley Road, Mount Horeb, WI",53572,1,699900,NA,2891.944444,5621.470458,4,4400,1998,3.5,43509,28497,-62107,1.9,4.2,11.6,3.2,87.9,4,5.6,3.9,45.6,inf,10.37539918,20.16809144
"304 Lillehammer Lane, Mount Horeb, WI",53572,1,409900,NA,1985.208333,2091.16089,3,1882,2019,2,25481,18346,-37119,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,16.33462709,17.2064225
"732 Maple Drive, Mount Horeb, WI",53572,1,399900,NA,1773.125,1763.707226,3,1630,2019,2,24859,17996,-36257,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,18.89485937,18.79450123
"3118 County Road P, Mount Horeb, WI",53572,1,299999,NA,2406.944444,1473.89574,4,1375,1909,1,18649,14500,-27649,1.9,4.2,11.6,3.2,87.9,4,5.6,3.9,45.6,inf,16.96179451,10.38657819
"211 S 2nd Street, Mount Horeb, WI",53572,1,235000,NA,1773.125,1703.113603,3,1574,,2,14609,12225,-22049,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,11.49854789,11.04453061
"911 S Blue Mounds Street, Mount Horeb, WI",53572,1,525000,NA,2364.166667,3866.08952,4,3573,2019,3.5,32636,22375,-47036,1,4.4,4.5,4.6,83.6,4,4.8,3.9,38.4,inf,11.31634427,18.50546352
