address,zip,units,list_price,rent,rent_estimate_beds,rent_estimate_sqft,beds,sqft,year_built,baths,mortgage,dp+close,1yr CF,1yr growth,3yr growth,5yr growth,unemploy %,family %,college %,poverty %,vacancy,med_age,price_to_rent,price_to_rent_est_sqft,price_to_rent_est_beds
"1302 Huxley Street, Madison, WI",53704,1,189900,NA,2050,1085.382625,3,825,1946,1,11805,10646,-18163,0.5,2.6,-0.3,14.7,67.4,7.4,12.2,9.9,42.1,inf,14.58011178,7.719512195
"49 Fuller Drive, Madison, WI",53704,1,2450000,NA,3183.333333,8496.190672,5,6562,1936,4,152302,89750,-212902,-3,-0.7,4.2,2.9,89,4.8,1.5,1.6,50.7,inf,24.03037721,64.13612565
"5232 Perfect Drive, Madison, WI",53704,1,525000,NA,874.1666667,,2,,2019,2,32636,22375,-47036,1.4,17.1,6.4,9.2,70.3,17.4,30,6,29.2,inf,,50.04766444
"5209 Perfect Drive, Madison, WI",53704,1,525000,NA,1311.25,,3,,2019,2,32636,22375,-47036,1.4,17.1,6.4,9.2,70.3,17.4,30,6,29.2,inf,,33.36510963
"5213 Perfect Drive, Madison, WI",53704,1,525000,NA,874.1666667,,2,,2019,2,32636,22375,-47036,1.4,17.1,6.4,9.2,70.3,17.4,30,6,29.2,inf,,50.04766444
"5212 Perfect Drive, Madison, WI",53704,1,525000,NA,437.0833333,,1,,2019,1.5,32636,22375,-47036,1.4,17.1,6.4,9.2,70.3,17.4,30,6,29.2,inf,,100.0953289
"2314 Center Avenue, Madison, WI",53704,1,345000,NA,2233.75,2124.55335,3,1524,1904,2,21447,16075,-31527,-6.9,-2.9,-6.8,6.8,65.5,10.6,13.6,2.9,36.8,inf,13.53225608,12.87073307
"5113 Hazelcrest Drive, Madison, WI",53704,1,269900,NA,3560.5,2320.357275,6,2148,2000,2,16778,13446,-25056,0.6,1.7,0.7,5.6,77.6,6.6,11.9,3.4,32.3,inf,9.693191178,6.316996676
"2309 N Sherman Avenue, Madison, WI",53704,1,250000,NA,1493.75,1372.687314,3,1201,1918,1,15541,12750,-23341,0.5,2.6,-0.3,14.7,67.4,7.4,12.2,9.9,42.1,inf,15.17704223,13.94700139
"801 Butternut Road, Madison, WI",53704,1,519000,NA,2441.666667,3192.780088,4,2940,1935,1.5,32263,22165,-46519,-3,-0.7,4.2,2.9,89,4.8,1.5,1.6,50.7,inf,13.54618821,17.71331058
"441 Caromar Drive, Madison, WI",53711,1,459900,NA,2383.333333,2685.367725,4,2198,1949,2.5,28589,20096,-41427,0.6,2.1,6,8.4,82.1,6.3,2.4,4.7,42.2,inf,14.27178842,16.08041958
"5121 Hill Top Road, Fitchburg, WI",53711,1,549000,NA,2475.944444,5915.793587,4,5110,2003,4,34128,23215,-49104,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,7.733535548,18.47779747
"2607 Bob's Drive, Fitchburg, WI",53711,1,447650,NA,2658.333333,2714.702027,4,2402,2018,2.5,27828,19668,-40372,4,14.2,11.7,4.4,82,4.8,2.2,4.2,38.9,inf,13.7415327,14.03291536
"518 Jupiter Drive, Madison, WI",53718,1,285000,NA,1942.083333,2364.255848,3,2268,2010,2,17717,13975,-26357,2.6,4.6,15.3,2.1,70.1,6,6.3,2.7,35.2,inf,10.04544412,12.22913538
"1314 Brunette Downs Drive, Madison, WI",53718,1,345900,NA,2114.583333,1646.421635,3,1565,2018,2,21503,16107,-31605,4.5,7.7,11.7,1.9,82.8,8,3.4,6.1,36.4,inf,17.50766595,13.63152709
